Date,Open,High,Low,Close,Adj Close,Volume
1/22/20,12218.35,12225.05,12087.9,12106.9,12106.9,526294513
1/23/20,12123.75,12189,12094.1,12180.35,12180.35,867653663
1/24/20,12174.55,12272.15,12149.65,12248.25,12248.25,593237908
1/27/20,12197.1,12216.6,12107,12119,12119,441158138
1/28/20,12148.1,12163.55,12024.5,12055.8,12055.8,478484057
1/29/20,12114.9,12169.6,12103.8,12129.5,12129.5,514362340
1/30/20,12147.75,12150.3,12010.6,12035.8,12035.8,538138743
1/31/20,12100.4,12103.55,11945.85,11962.1,11962.1,771278258
2/1/20,11939,12017.35,11633.3,11661.85,11661.85,537634767
2/3/20,11627.45,11749.85,11614.5,11707.9,11707.9,669815788
2/4/20,11786.25,11986.15,11783.4,11979.65,11979.65,560430291
2/5/20,12005.85,12098.15,11953.35,12089.15,12089.15,758032580
2/6/20,12120,12160.6,12084.65,12137.95,12137.95,565116236
2/7/20,12151.15,12154.7,12073.95,12098.35,12098.35,473475144
2/10/20,12102.35,12103.55,11990.75,12031.5,12031.5,525674715
2/11/20,12108.4,12172.3,12099,12107.9,12107.9,480491557
2/12/20,12151,12231.75,12144.3,12201.2,12201.2,412399174
2/13/20,12219.55,12225.65,12139.8,12174.65,12174.65,501510138
2/14/20,12190.15,12246.7,12091.2,12113.45,12113.45,623053270
2/17/20,12131.8,12159.6,12037,12045.8,12045.8,455412408
2/18/20,12028.25,12030.75,11908.05,11992.5,11992.5,677307424
2/19/20,12090.6,12134.7,12042.1,12125.9,12125.9,514030605
2/20/20,12119,12152,12071.45,12080.85,12080.85,502875583
2/24/20,12012.55,12012.55,11813.4,11829.4,11829.4,491224913
2/25/20,11877.5,11883.05,11779.9,11797.9,11797.9,461349973
2/26/20,11738.55,11783.25,11639.6,11678.5,11678.5,567990976
2/27/20,11661.25,11663.85,11536.7,11633.3,11633.3,609266324
2/28/20,11382,11384.8,11175.05,11201.75,11201.75,810523106
3/2/20,11387.35,11433,11036.25,11132.75,11132.75,681148567
3/3/20,11217.55,11342.25,11152.55,11303.3,11303.3,696919348
3/4/20,11351.35,11356.6,11082.15,11251,11251,798021596
3/5/20,11306.05,11389.5,11244.6,11269,11269,1353209029
3/6/20,10942.65,11035.1,10827.4,10989.45,10989.45,1811564187
3/9/20,10742.05,10751.55,10294.45,10451.45,10451.45,1566119057
3/11/20,10334.3,10545.1,10334,10458.4,10458.4,1219079693
3/12/20,10039.95,10040.75,9508,9590.15,9590.15,1344263317
3/13/20,9107.6,10159.4,8555.15,9955.2,9955.2,1389061775
3/16/20,9587.8,9602.2,9165.1,9197.4,9197.4,898523271
3/17/20,9285.4,9403.8,8915.6,8967.05,8967.05,936185892
3/18/20,9088.45,9127.55,8407.05,8468.8,8468.8,1517275761
3/19/20,8063.3,8575.45,7832.55,8263.45,8263.45,926508824
3/20/20,8284.45,8883,8178.2,8745.45,8745.45,1072263600
3/23/20,7945.7,8159.25,7583.6,7610.25,7610.25,654151814
3/24/20,7848.3,8036.95,7511.1,7801.05,7801.05,739354439
3/25/20,7735.15,8376.75,7714.75,8317.85,8317.85,738114713
3/26/20,8451,8749.05,8304.9,8641.45,8641.45,866534643
3/27/20,8949.1,9038.9,8522.9,8660.25,8660.25,801923401
3/30/20,8385.95,8576,8244,8281.1,8281.1,593953051
3/31/20,8529.35,8678.3,8358,8597.75,8597.75,713390935
4/1/20,8584.1,8588.1,8198.35,8253.8,8253.8,507509685
